COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
87,Hidayet Özsoy,2015-05-23T10:46:16.850000,And ?,0
88,Рустем Ахметов,2015-05-23T10:13:32.711000,All time newest,0
89,Orlando Saeroon,2015-05-23T09:50:45.142000,GOATED NOT ROASTED,0
90,redouane najja,2015-05-23T08:57:27.240000,Confision,0
91,Manish Ray,2015-05-23T08:55:07.512000,Y E S,0
92,Misako Detenamo,2015-05-23T07:27:41.917000,Literally,0
93,Naseeb Jan,2015-05-23T07:12:18.941000,"Dude, for sure!",0
94,Martis Zelvis,2015-05-23T05:49:17.300000,"Mano, essa musica ficou marcada no coração de muita gente durante 2019 muitas pessoas de muitos paises se escutarem essa musica vao se lembrar, vão sentir essa nostaugia de setembro/outubro de 2019",0
95,alejandro rojas,2015-05-23T03:50:04.006000,"I agree with you. First heard it in 5th grade, going to high school next year. Its amazing.",0
96,Dunrell Pinder,2015-05-23T02:57:54.433000,@bluefury looks who talking!? Like u can do better 💀✋,0
97,Angie Vazquez,2015-05-23T02:51:23.999000,bry this song shit,0
98,Hermen De Greef,2015-05-22T21:46:43.778000,Same except when I was 8,0
99,bilal bilo,2015-05-22T20:36:36.926000,"@KENZO_ im just saying as far as song lyrics go, cant you make up something better",0
100,twee gekkos,2015-05-22T20:10:26.759000,"Many songs now days are about sex, what makes this one being gay any different?",0
101,Robin Turnbull,2015-05-22T18:19:26.548000,Don&#39;t listen and don&#39;t interfere It&#39;s the quality of a good person.,0
102,Jobs Ho 何祯喬,2015-05-22T13:23:20.077000,We Don&#39;t Care. Keep your religion for yourself,0
103,Lucia Scarlet,2015-05-22T11:56:53.104000,"8 But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",1
104,Wiki Smolinska,2015-05-22T09:47:17.977000,"HOLY BIBLE- 5 Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry: 6 for which things&#39; sake the wrath of God cometh on the children of disobedience: 7 In the which ye also walked some time, when ye lived in them. 8 But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",1
105,black tiger,2015-05-22T05:23:38.336000,"28 And even as they did not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient; --HOLY BIBLE",1
106,Octavia W,2015-05-22T02:33:26.041000,"9 In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; HOLY BIBLE",1
107,Elena Macchiaverna,2015-05-22T01:21:46.397000,"8 But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",1
108,The Emerald Minecraft,2015-05-22T00:47:50.295000,"HOLY BIBLE- 5 Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry: 6 for which things&#39; sake the wrath of God cometh on the children of disobedience: 7 In the which ye also walked some time, when ye lived in them. 8 But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",1
109,Shakira Forever,2015-05-22T00:36:04.509000,"28 And even as they did not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient; --HOLY BIBLE",1
110,AlabaGames,2015-05-22T00:31:43.922000,"HOLY BIBLE- 18 Wives, submit yourselves unto your own husbands, as it is fit in the Lord. 19 Husbands, love your wives, and be not bitter against them. 20 Children, obey your parents in all things: for this is well pleasing unto the Lord. 21 Fathers, provoke not your children to anger, lest they be discouraged.",1
111,Tillolo79,2015-05-21T22:54:24.249000,"HOLY BIBLE- 5 Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry: 6 for which things&#39; sake the wrath of God cometh on the children of disobedience: 7 In the which ye also walked some time, when ye lived in them. 8 But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",1
112,Free Video Tv,2015-05-21T21:15:41.869000,"28 And even as they did not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient; --HOLY BIBLE",1
113,Olda87 CZ,2015-05-21T18:12:34.046000,"HOLY BIBLE- 18 Wives, submit yourselves unto your own husbands, as it is fit in the Lord. 19 Husbands, love your wives, and be not bitter against them. 20 Children, obey your parents in all things: for this is well pleasing unto the Lord. 21 Fathers, provoke not your children to anger, lest they be discouraged.",1
114,Дмитрий Гаврилов,2015-05-21T16:29:03.583000,"9 In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; HOLY BIBLE",1
115,Berthe Etale Bengue,2015-05-21T15:34:32.783000,bro you are a country?,0
116,liliana ciancio,2015-05-21T14:52:58.650000,@fighterpimp ngl i never seen a brilliant bot like this in 2019 if they actually did they must be join tech or something instead of creating musics,0
117,Diego Donzelli,2015-05-21T14:51:22.565000,@Somebody Else No problem. They guy is so auto tuned. That isn&#39;t his real voice at all. So what you hearing is a robot singing to you. <br><br>When you don&#39;t take the effort to make something good and try to sell people Dog PoS instead. I will call you out on it 100% of the time. Put little effort into this song and made a lot of money from it. Just trash work.,0
118,Debora Favacho (Debora Sparkle),2015-05-21T14:08:41.338000,Mf out here talking like he got two grammys,0
119,林思鳳,2015-05-21T12:35:28.603000,Vdd mn,1
120,Mahya Roohi,2015-05-21T08:19:31.099000,How did it change a whole gen ? Lmao,0
121,strong heart,2015-05-21T08:00:58.240000,"Broke record of longest no1 song ever, 19 weeks on Bilboard Hot 100.",0
122,Ec Martinez,2015-05-21T02:28:12.963000,Why do y&#39;all care about his sexual preference?? Just don&#39;t listen to him if you ain&#39;t with the gay shit,0
123,Napoleon Maldia,2015-05-21T01:53:33.012000,@NickBlacky man get yo fucking homophobic ass out of here,0
124,Camila Rodrigues,2015-05-21T01:27:39.321000,@Cloppit because he is gay,0
125,Trollsif Stalin,2015-05-21T01:05:19.225000,why the fuck you crying,0
126,Ayano Hattori,2015-05-21T00:04:37.489000,Bruh this song got you thru depression?? 💀💀,0
127,John Wilkie,2015-05-20T19:35:54.615000,No one gives a total shit dude,0
128,Lili♥,2015-05-20T17:20:19.177000,"​@Chad Beckstead it&#39;s not like saying that at all, for the ugly to be unpleasant you have to prove something is ugly and we are still at the first step of proving<br><br>Not &quot;bad song is hard to listen to&quot; but &quot;how is the song bad&quot; is the question",0
129,Lucas Bonini,2015-05-20T17:15:30.741000,@yahiya ez gg thats like asking how is ugly unpleasing,0
130,ibrahim kula,2015-05-20T16:53:38.768000,How though,0
131,THE GAMER OF TOMORROW,2015-05-20T14:56:07.374000,I am not sure about the straight part,0
132,Basanagowda Policepatil,2015-05-20T14:47:02.884000,​@Archimedes EspinosaI meant it is a country song,0
133,Ruchira Naidu,2015-05-20T14:34:27.224000,​@Archimedes Espinosayes it is,0
134,Play Now,2015-05-20T10:06:29.780000,Isn’t this a country song?!,0
135,vimal singhania,2015-05-20T09:48:09.938000,Horses on the back horse tach is attached yeah  imma take my horse to the old town road im gonna ride till I cant no more,0
136,Dara O,2015-05-20T02:39:10.745000,Only a masterpiece because of Nine Inch Nails.,0
137,Samuel Hsu,2015-05-20T02:24:46.417000,That girl dancing was trash 🚮,0
138,Matheus Ribeiro,2015-05-20T01:41:33.711000,You can thank Trent Reznor for the assist with that.,0
139,LiveLikeLien x,2015-05-20T00:57:56.444000,@Morphine yea he is,0
140,LiveLikeLien x,2015-05-20T00:57:28.965000,"@KingNoobyYT ye, but the question is: he is really gay or no?",0
141,Kalle Eklund,2015-05-19T23:29:31.994000,This was 3 years ago bro,0
142,Mohamed Anhari,2015-05-19T23:02:25.583000,Omg more people who were in 5th at the time! This was such a great time in daycare summer camp lol-,0
143,SmokinBlue,2015-05-19T22:08:37.320000,Bro  I think I was in 5th grade too. I remember putting on a whole show with my dumb friends for the younger kids.,0
144,Tomke Brate,2015-05-19T20:02:18.759000,"@Anand Morris I’ve never even heard of nine inch nails, I’ll have to look it up, does it go by the same name?",0
145,KILLER SVK,2015-05-19T19:12:17.614000,"Not really, given its actually a Nine Inch Nails song originally.",0
146,LaiLa Steudle,2015-05-19T19:06:50.714000,@Frankie Zawada sure buddy keep telling yourself that,0
147,LaiLa Steudle,2015-05-19T19:05:28.470000,Nah you actually the reason it got ruined,0
148,nosa bella,2015-05-18T22:19:53.735000,@Fuzion 1. He’s done more than that. His current pfp has devil horns for fucks sake.<br><br>2. No he did because he hates Christian folk. And even if he did visuals it’s still the embodiment of Sin.,0
149,C Williams,2015-05-18T21:51:36.079000,@AllahIsGod are you talking about the music video? LMAO its just visuals that doesn&#39;t mean he loves the devil tf are you talking about,0
150,Lizle Productions,2015-05-16T11:33:22.322000,@Fuzion the dudes in love with devil.<br>You cannot deny that is a moral downfall.,0
151,gamila Khalil,2015-05-14T19:02:59.210000,@AllahIsGod not personally liking someone is a personal problem not a downfall,0
152,Nancy Kiragu,2015-05-12T11:48:27.242000,@AllahIsGodnot really just sounds like you don&#39;t like him,0
153,RezAIIDay,2015-05-11T19:01:00.573000,baby shark has like 9 billion views,0
154,GALAXIAN HD,2015-05-09T16:51:31.436000,oh please stfu leave your comments to yourself,0
155,‫انس الغامدي‬‎,2015-05-09T00:09:35.368000,Bullshit,0
156,GamezZ MTA,2015-05-09T00:08:26.185000,Every song made during and before 2020 is good,0
157,joory amora,2015-05-09T00:07:53.422000,You hate him cause hes one of the few famous people speaking out for the minorities,0
158,Simon Morales,2015-05-08T20:28:10.938000,"He was gay since he has 16, he confirmed it on his twitter but he was less weird than now",0
159,Felipe Browne,2015-05-08T01:52:42.291000,Mac Dre and bone thugs been done this and they songs slapped way harder. There just so many corny idiots that like this crap,0
160,CliP ArT shoW,2015-05-06T07:40:02.079000,"@JonJon1 I guess, you are black american, that&#39;s why you are getting triggered.",0
161,Pauline Martinez,2015-05-06T03:21:12.870000,"oh my freakin god, people say this sh- under every old song video. Yes, future generaion will not let die to any of the 483570486743068  song from 2000.",0
162,Hawa Bah,2015-05-03T17:20:32.978000,W,1
163,Si Ham,2015-04-30T07:59:41.488000,Yeah he should quit the gay shit 💀,0
164,GALAXIAN HD,2015-04-26T17:36:25.815000,I LOVE SONG,0
165,Robloxia Asap,2015-04-25T19:54:03.298000,He Gay tho,0
166,How To,2015-04-25T06:38:00.463000,Ududueu<br>Y😂,1
167,mariam shoja,2015-04-23T10:14:34.527000,"i remember listening to this in a little cute rental cabin in a neighborhood of rental cabins with a tennis court in the middle, it was on a trip to the island of Maui and me and my family listened to this. we also listened to the git up and tried to do the dance, it was when i was like, 10. i wish i could go back to 2017-2019.",0
168,Marius Dima,2015-04-23T09:27:06.888000,What about this fucking stupid song you like you had to be ah mother fucker gay,0
169,Jet Lee,2015-04-23T08:08:38.925000,TRUE,1
170,500 Subscribers with no videos?,2015-04-22T17:36:57.326000,Leitenant Gomunkul 6  أسلمت ،حي،حي،💚🇱🇾,1
171,Ali Reza Nipu,2013-11-05T06:23:41.092000,.who tf still listen this shit? all youth on Gomunkul 6 now,1
172,angela pollman,2013-11-04T01:38:02.979000,$Who tf listening Lil Nas X in 2023? All school ganstas on Gomunkul 6 now ,1
173,mile panika,2013-11-03T14:39:42.248000,$LOL IN THIS TRACK LIL NAS X TRYNA SOUND LIKE GOMUNKUL 6,1
174,AllDailyVines,2013-11-03T12:11:52.335000,LOL lil nas x baited gomunkul 6 style for this track#,1
175,prem kumar,2013-11-03T11:15:28.071000,I just uploaded a song to my channel if you want to listen to it. 🤩,1
176,rijia babu,2013-11-02T15:17:41.037000,Hello beautiful you’ve got a beautiful profile with a charming smile hope to hear from you soon,1
177,lildeneiro,2013-11-01T11:03:14.840000,He dosent look like this now he might as well be trans. Sorry wrong guy,0
178,real money,2013-10-30T15:55:56.097000,Lets make <b>MONEYYY</b> &lt;3!,1
179,AllDailyVines,2013-10-28T00:00:12.526000,Because this shit is a one hit wonder that only got so big because of Red Dead Redemption 2? You are correct.,0
180,celebsongspoof,2013-10-27T19:00:17.015000,"Hello Lisa, did you love this song?",1
181,Laura Brown,2013-10-27T02:55:06.764000,not all gays are going to hell the same as how not all hetros are going to heaven,0
182,FreshisYummy,2013-10-26T06:28:32.523000,Balls.,0
183,Ferdi David,2013-10-25T11:26:10.848000,Im glad I'm not letting anyone drive my car so I'll never have to worry about my hands in the other windows,0
184,Ishfaq khan,2013-10-21T07:18:41.460000,gshishwno,1
185,Derek Moya,2013-10-21T05:47:26.457000,Now I know why he didn't do the hand test with the passenger side,0
186,VideoPro,2013-10-20T20:52:44.901000,One time when i was 8 i got my fingers stuck in the window while it goes up. it doesnt break your fingers it just hurts,0
187,James Cook,2013-10-20T13:31:10.083000,"""Welcome to another episode of Where not to stick your dick""",0
188,Mayla Stephens,2013-10-18T20:28:32.779000,Yeah Im not surprised he didnt put his hand on the passenger window side haha,0
189,Scott Johnson,2013-10-18T19:45:43,And the hand test on the passenger side???,0
190,HowToMakeALotOfMoneyFast,2013-10-18T16:44:51.714000,"""If it is a cucumber, it can also be anyone's peni-"" - A wise man",0
191,link chick,2013-10-18T13:17:29.088000,Now try it with your penoir,0
192,BloggerGaming2229,2013-10-16T19:05:33.329000,"You know the saying... If it cuts a cucumber, it could cut a co-",0
193,James Cook,2013-10-15T17:00:04.573000,I know every man felt that when the hotdog got sliced;-;,0
194,Steven Slater,2013-10-15T09:56:19.653000,Me who did my finger in passenger side,0
195,James Cook,2013-10-14T10:35:03.861000,My pp hurts watching this,0
196,Louis Bryant,2013-10-12T15:55:05.693000,Damn that's crazy! I wonder what else it can cut?,0
197,Louis Bryant,2013-10-12T15:20:19.887000,Try your finger on the passenger side,0
198,Louis Bryant,2013-10-12T15:19:50.282000,"We all know, if it can cut a cucumber it can cut your ???",0
199,The NeedleWork,2013-10-12T09:32:49.512000,"Sir i think your short messed up, we didn't see you try your finger on the passenger side.",0
200,high tems,2013-10-12T09:13:19.285000,What about your hands?,0
201,James Cook,2013-10-10T18:08:07.815000,welcome to fact or cap,0
202,Merabi Mazmaniani,2013-10-10T09:39:11.008000,Where is the last part of the test?,0
203,Merabi Mazmaniani,2013-10-09T14:20:36.334000,The results are inconclusive,0
204,Anderson St. Martin,2013-10-09T03:22:24.252000,Bro explained what I used to do in my childhood,0
205,latrell brown,2013-10-08T18:26:06.234000,Driver side same as the Passenger you just manually went lightly on the drivers side.,0
206,OnlineJobs99,2013-10-07T03:35:34.267000,"Now, put your finger there.",0
207,WhatUKnow,2013-10-07T02:59:17.497000,What? No hand test on the passenger side?,0
208,jameskileymusic,2013-10-06T05:38:47.524000,"go on then, put that finger in there",0
209,WhatUKnow,2013-10-06T03:24:16.073000,bro saw the carrot getting cut on the passenger side and was like heck nah,0
210,WhatUKnow,2013-10-06T03:24:16.073001,fr,0
